        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)        P(4d-)        Q(4d-)         P(4d)         Q(4d)         P(5s)         Q(5s)        P(5p-)        Q(5p-)         P(5p)         Q(5p)
  6.364007E-08  7.680982E-05 -8.560895E-09  2.671414E-05 -2.981822E-09  5.298877E-10  4.511948E-06  1.969640E-11 -1.317730E-15  1.204247E-05 -1.344466E-09  2.497045E-10  2.125794E-06  9.376232E-12 -6.274107E-16  3.530559E-17  5.014728E-13  1.567844E-18 -7.490986E-23  5.541741E-06 -6.187289E-10  1.112395E-10  9.469716E-07  4.165534E-12 -2.787476E-16  1.477136E-17  2.098029E-13  6.546716E-19 -3.128042E-23  2.217929E-06 -2.476314E-10  3.972797E-11  3.381983E-07  1.469170E-12 -9.831398E-17
  6.880189E-08  8.303984E-05 -1.000396E-08  2.888092E-05 -3.484452E-09  6.192080E-10  4.877911E-06  2.302112E-11 -1.665462E-15  1.301923E-05 -1.571096E-09  2.917958E-10  2.298217E-06  1.095892E-11 -7.929764E-16  4.462228E-17  5.861205E-13  1.981126E-18 -1.024128E-22  5.991230E-06 -7.230247E-10  1.299905E-10  1.023780E-06  4.868668E-12 -3.523055E-16  1.866933E-17  2.452173E-13  8.272423E-19 -4.276495E-23  2.397825E-06 -2.893733E-10  4.642470E-11  3.656294E-07  1.717163E-12 -1.242578E-16
  7.422837E-08  8.958928E-05 -1.164230E-08  3.115878E-05 -4.055097E-09  7.206151E-10  5.262637E-06  2.679572E-11 -2.091138E-15  1.404607E-05 -1.828393E-09  3.395829E-10  2.479480E-06  1.275578E-11 -9.956536E-16  5.602731E-17  6.822224E-13  2.487831E-18 -1.386894E-22  6.463764E-06 -8.414338E-10  1.512790E-10  1.104527E-06  5.666949E-12 -4.423514E-16  2.344103E-17  2.854238E-13  1.038823E-18 -5.791313E-23  2.586944E-06 -3.367637E-10  5.402763E-11  3.944670E-07  1.998714E-12 -1.560169E-16
  7.993307E-08  9.647452E-05 -1.349913E-08  3.355344E-05 -4.701847E-09  8.355463E-10  5.667088E-06  3.107267E-11 -2.611441E-15  1.512556E-05 -2.120004E-09  3.937431E-10  2.670036E-06  1.479177E-11 -1.243385E-15  6.996763E-17  7.911141E-13  3.106637E-18 -1.865415E-22  6.960526E-06 -9.756344E-10  1.754065E-10  1.189413E-06  6.571468E-12 -5.524141E-16  2.927346E-17  3.309812E-13  1.297212E-18 -7.789491E-23  2.785759E-06 -3.904743E-10  6.264451E-11  4.247831E-07  2.317735E-12 -1.948359E-16
  8.593026E-08  1.037128E-04 -1.559914E-08  3.607087E-05 -5.433295E-09  9.655291E-10  6.092276E-06  3.591020E-11 -3.244303E-15  1.626039E-05 -2.449805E-09  4.549962E-10  2.870362E-06  1.709461E-11 -1.544710E-15  8.692374E-17  9.142781E-13  3.859663E-18 -2.491120E-22  7.482758E-06 -1.127410E-09  2.026938E-10  1.278652E-06  7.594543E-12 -6.862873E-16  3.636765E-17  3.825098E-13  1.611647E-18 -1.040227E-22  2.994768E-06 -4.512189E-10  7.238989E-11  4.566536E-07  2.678570E-12 -2.420528E-16
  9.223492E-08  1.113221E-04 -1.797084E-08  3.871738E-05 -6.259374E-09  1.112328E-09  6.539264E-06  4.137294E-11 -4.012141E-15  1.745341E-05 -2.822274E-09  5.241740E-10  3.080960E-06  1.969509E-11 -1.910301E-15  1.074962E-16  1.053360E-12  4.773064E-18 -3.306928E-22  8.031764E-06 -1.298822E-09  2.335114E-10  1.372466E-06  8.749842E-12 -8.487130E-16  4.497489E-17  4.406980E-13  1.993048E-18 -1.380888E-22  3.214493E-06 -5.198223E-10  8.339606E-11  4.901581E-07  3.086040E-12 -2.993402E-16
  9.886284E-08  1.193216E-04 -2.064516E-08  4.149957E-05 -7.190860E-09  1.277859E-09  7.009169E-06  4.753262E-11 -4.940651E-15  1.870760E-05 -3.242269E-09  6.021786E-10  3.302355E-06  2.262733E-11 -2.352392E-15  1.323735E-16  1.210186E-12  5.877739E-18 -4.364727E-22  8.608919E-06 -1.492105E-09  2.682613E-10  1.471091E-06  1.005253E-11 -1.045126E-15  5.538321E-17  5.063100E-13  2.454318E-18 -1.822597E-22  3.445483E-06 -5.971794E-10  9.580659E-11  5.253803E-07  3.545495E-12 -3.686150E-16
  1.058306E-07  1.277313E-04 -2.365666E-08  4.442441E-05 -8.239789E-09  1.464260E-09  7.503167E-06  5.446881E-11 -6.060662E-15  2.002608E-05 -3.715218E-09  6.900183E-10  3.535101E-06  2.592922E-11 -2.885662E-15  1.623817E-16  1.386783E-12  7.210154E-18 -5.731649E-22  9.215666E-06 -1.709758E-09  3.073926E-10  1.574771E-06  1.151945E-11 -1.282049E-15  6.793819E-17  5.801932E-13  3.010683E-18 -2.393389E-22  3.688317E-06 -6.842898E-10  1.097819E-10  5.624085E-07  4.062871E-12 -4.521774E-16
  1.131556E-07  1.365721E-04 -2.704374E-08  4.749921E-05 -9.419535E-09  1.673908E-09  8.022492E-06  6.226978E-11 -7.408198E-15  2.141217E-05 -4.247150E-09  7.888128E-10  3.779780E-06  2.964277E-11 -3.527265E-15  1.984859E-16  1.585396E-12  8.813303E-18 -7.490878E-22  9.853521E-06 -1.954556E-09  3.514040E-10  1.683768E-06  1.316925E-11 -1.567102E-15  8.304366E-17  6.632879E-13  3.680097E-18 -3.127997E-22  3.943600E-06 -7.822642E-10  1.255001E-10  6.013352E-07  4.644751E-12 -5.527152E-16
  1.208561E-07  1.458662E-04 -3.084884E-08  5.073166E-05 -1.074488E-08  1.909429E-09  8.568444E-06  7.103341E-11 -9.025908E-15  2.286933E-05 -4.844731E-09  8.998001E-10  4.037004E-06  3.381459E-11 -4.297505E-15  2.418288E-16  1.808520E-12  1.073783E-17 -9.747798E-22  1.052408E-05 -2.229565E-09  4.008471E-10  1.798353E-06  1.502265E-11 -1.909306E-15  1.011777E-16  7.566367E-13  4.483707E-18 -4.070429E-22  4.211973E-06 -8.923300E-10  1.431582E-10  6.422576E-07  5.298438E-12 -6.734103E-16
