        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  1.288954E-07  6.703930E-05 -1.165498E-08  2.161772E-05 -3.761323E-09  4.258469E-10  2.292276E-06  2.359017E-11 -2.461791E-15  8.965846E-06 -1.560154E-09  1.797906E-10  9.677007E-07  9.987496E-12 -1.042360E-15  3.187586E-17  2.860552E-13  1.917902E-18 -1.429693E-22  3.539229E-06 -6.158750E-10  6.462335E-11  3.478223E-07  3.576636E-12 -3.732862E-16
  1.383524E-07  7.195794E-05 -1.342701E-08  2.320380E-05 -4.333195E-09  4.905927E-10  2.460459E-06  2.717876E-11 -3.044430E-15  9.623667E-06 -1.797360E-09  2.071260E-10  1.038700E-06  1.150682E-11 -1.289058E-15  3.942001E-17  3.295706E-13  2.371780E-18 -1.897899E-22  3.798901E-06 -7.095127E-10  7.444869E-11  3.733419E-07  4.120722E-12 -4.616329E-16
  1.482943E-07  7.712877E-05 -1.542514E-08  2.487121E-05 -4.978037E-09  5.635999E-10  2.637265E-06  3.122519E-11 -3.748987E-15  1.031521E-05 -2.064833E-09  2.379493E-10  1.113341E-06  1.321997E-11 -1.587378E-15  4.854278E-17  3.786377E-13  2.920703E-18 -2.504986E-22  4.071886E-06 -8.150984E-10  8.552772E-11  4.001698E-07  4.734223E-12 -5.684663E-16
  1.587459E-07  8.256472E-05 -1.767520E-08  2.662410E-05 -5.704182E-09  6.458121E-10  2.823137E-06  3.578172E-11 -4.598856E-15  1.104222E-05 -2.366030E-09  2.726590E-10  1.191807E-06  1.514910E-11 -1.947225E-15  5.954708E-17  4.338904E-13  3.582792E-18 -3.289484E-22  4.358868E-06 -9.339967E-10  9.800364E-11  4.283733E-07  5.425063E-12 -6.973335E-16
  1.697333E-07  8.827937E-05 -2.020588E-08  2.846687E-05 -6.520887E-09  7.382773E-10  3.018538E-06  4.090634E-11 -5.621372E-15  1.180650E-05 -2.704790E-09  3.116973E-10  1.274297E-06  1.731873E-11 -2.380174E-15  7.278685E-17  4.960317E-13  4.379412E-18 -4.299133E-22  4.660563E-06 -1.067723E-09  1.120355E-10  4.580229E-07  6.202036E-12 -8.523796E-16
  1.812841E-07  9.428701E-05 -2.304887E-08  3.040411E-05 -7.438385E-09  8.421540E-10  3.223957E-06  4.666336E-11 -6.848897E-15  1.260996E-05 -3.085358E-09  3.555536E-10  1.361017E-06  1.975611E-11 -2.899926E-15  8.868114E-17  5.658415E-13  5.335730E-18 -5.594414E-22  4.977727E-06 -1.217953E-09  1.277990E-10  4.891925E-07  7.074889E-12 -1.038512E-15
  1.934272E-07  1.006027E-04 -2.623942E-08  3.244068E-05 -8.468046E-09  9.587294E-10  3.439909E-06  5.312406E-11 -8.319419E-15  1.345462E-05 -3.512449E-09  4.047713E-10  1.452182E-06  2.249142E-11 -3.522568E-15  1.077218E-16  6.441843E-13  6.481370E-18 -7.250759E-22  5.311152E-06 -1.386549E-09  1.454896E-10  5.219603E-07  8.054432E-12 -1.261490E-15
  2.061928E-07  1.072422E-04 -2.981656E-08  3.458167E-05 -9.622469E-09  1.089430E-09  3.666933E-06  6.036751E-11 -1.007769E-14  1.434258E-05 -3.991290E-09  4.599525E-10  1.548022E-06  2.555811E-11 -4.267046E-15  1.304883E-16  7.320186E-13  7.851178E-18 -9.362855E-22  5.661672E-06 -1.575573E-09  1.653238E-10  5.564081E-07  9.152651E-12 -1.528100E-15
  2.196129E-07  1.142220E-04 -3.382355E-08  3.683243E-05 -1.091561E-08  1.235836E-09  3.905596E-06  6.848131E-11 -1.217626E-14  1.527607E-05 -4.527672E-09  5.217645E-10  1.648775E-06  2.899330E-11 -5.155611E-15  1.576611E-16  8.304068E-13  9.486107E-18 -1.204884E-21  6.030164E-06 -1.787311E-09  1.875413E-10  5.926221E-07  1.038283E-11 -1.846310E-15
  2.337211E-07  1.215598E-04 -3.830834E-08  3.919859E-05 -1.236296E-08  1.399701E-09  4.156496E-06  7.756257E-11 -1.467688E-14  1.625743E-05 -5.128013E-09  5.909474E-10  1.754695E-06  3.283808E-11 -6.214414E-15  1.900398E-16  9.405264E-13  1.143426E-17 -1.545630E-21  6.417548E-06 -2.024297E-09  2.124082E-10  6.306928E-07  1.175969E-11 -2.225484E-15
